year,iso3,INFRA,INFRA_PC,INFRA_k,HCR,HCR_PC,HCR_k
2001,MRT,-0.061754456886706055,-0.07825796848350255,4,-0.29313131538389886,-0.31583335510142624,4
2001,MUS,2.7642771475646883,2.7740674493109596,4,1.9778820440786151,1.9638499164187326,4
2001,MWI,-0.6813186689991104,-0.6816303053199272,4,-0.16390855148960792,-0.12124350293395275,4
2001,NAM,0.9720705455602587,0.9728357038093315,4,1.392079145710172,1.3951833676981722,4
2001,NER,-0.8381686192764002,-0.8332715927662474,4,-1.5039011753602551,-1.5003074773989147,3
2001,NGA,-0.37118167416772074,-0.3630599703063059,4,0.36308879630822744,0.32435583387850114,4
2001,RWA,-0.6603419080720059,-0.6636003996236903,4,-0.5234514415447094,-0.5282251350753704,4
2001,SDN,-0.28938291534104377,-0.2826408626540043,4,-0.01154483878499838,-0.056741268066293815,4
2001,SEN,0.3925651607342634,0.39175242784937153,4,-0.5477911853171292,-0.5805830331675875,4
2001,SLE,-0.6301256248965641,-0.6309684217745944,4,-0.40336466402438687,-0.40805073509605494,4
2001,SOM,-0.6673762857328771,-0.6735584731393437,4,,,0
2001,SSD,,,0,,,0
2001,STP,0.7896908467042094,0.8343919228110932,4,,,1
2001,SWZ,0.5222026842103005,0.5148244169536703,4,0.6277946423141182,0.6253289226873947,4
2001,SYC,2.970780442857195,2.9718508499450818,4,2.5437014982567128,2.5335947775830787,2
2001,TCD,-0.8731210134691932,-0.873479688408081,4,-1.073568256631344,-1.0713457933163963,4
2001,TGO,-0.08594177916236924,-0.08670143349488876,4,0.15371448095897908,0.15384076217966883,3
2001,TZA,-0.5766172381822117,-0.5792066801576424,4,-0.5175476025876705,-0.490415937257872,3
2001,UGA,-0.5809513931153638,-0.5868786552322782,4,0.20957954495827014,0.21298253917244875,3
2001,ZAF,2.0982353031624483,2.095765402574388,4,1.7417920683410102,1.7444999158749186,3
2001,ZMB,-0.33513156799725163,-0.3379428714478326,4,0.5299795017431771,0.5295482969480508,2
2001,ZWE,0.26263921114455063,0.2609346984037112,4,0.9871637695491543,0.9786106933984149,3
2002,AGO,-0.5007598046780077,-0.4975673299225833,4,-0.8117250583668009,-0.7997416634028705,4
